,2022-05-20 00:00:00,2022-06-14 00:00:00,2022-07-09 00:00:00,2022-08-03 00:00:00,2022-08-28 00:00:00,2022-09-22 00:00:00,2022-10-17 00:00:00,2022-11-11 00:00:00,2022-12-06 00:00:00,2022-12-31 00:00:00,2023-01-25 00:00:00,2023-02-19 00:00:00,2023-03-16 00:00:00,2023-04-10 00:00:00,2023-05-05 00:00:00,2023-05-30 00:00:00,2023-06-24 00:00:00,2023-07-19 00:00:00,2023-08-13 00:00:00,2023-09-07 00:00:00,2023-10-02 00:00:00,2023-10-27 00:00:00,2023-11-21 00:00:00,2023-12-16 00:00:00,2024-01-10 00:00:00,2024-02-04 00:00:00,2024-02-29 00:00:00
ETH Vault_dai_ceiling,-7.95%,-24.00%,-24.00%,-24.00%,-24.00%,-24.00%,-24.00%,-20.51%,-18.20%,-16.48%,-19.18%,-18.67%,-17.62%,-12.58%,-13.49%,-11.91%,-15.32%,-15.67%,-16.49%,-16.97%,-16.69%,-16.51%,-16.00%,-16.46%,-12.97%,-12.04%,-8.76%
stETH Vault_dai_ceiling,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,10.67%,5.38%,4.43%,-1.82%
BTC Vault_dai_ceiling,-3.30%,12.00%,12.00%,7.22%,3.34%,0.74%,0.72%,-2.22%,-2.34%,-3.19%,-1.42%,-2.52%,-3.33%,-2.58%,-2.49%,-1.47%,-2.35%,-2.27%,-3.24%,-1.55%,-2.10%,-1.74%,-2.49%,-3.80%,-3.42%,-3.63%,-2.66%
Altcoin Vault_dai_ceiling,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.45%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%,-3.60%
Stablecoin Vault_dai_ceiling,-2.40%,-2.40%,-1.23%,-2.11%,-2.06%,-2.40%,-1.18%,-0.96%,-1.62%,-1.92%,-0.56%,-0.37%,-1.74%,-0.57%,-0.57%,0.46%,-0.71%,0.45%,1.34%,2.09%,-0.13%,0.19%,-0.00%,0.97%,-1.00%,-0.32%,-1.99%
LP Vault_dai_ceiling,2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.40%,-2.39%,-1.20%,0.56%,2.40%,2.40%,2.40%,2.40%,2.40%,2.40%
PSM Vault_dai_ceiling,-24.00%,-14.14%,-14.19%,-10.78%,-10.92%,-9.59%,-9.47%,-8.16%,-9.57%,-7.90%,-8.56%,-9.38%,-8.52%,-6.78%,-6.47%,-5.51%,-6.28%,-4.95%,-4.38%,-4.37%,-3.47%,-1.63%,0.69%,1.78%,4.70%,4.44%,6.74%
