DAY,SYMBOL,PRICE
2024-05-22 00:00:00.000,MPL,15.895
2024-05-22 00:00:00.000,SOL,179.265833333
2024-05-22 00:00:00.000,CWBTC,1402.98625
2024-05-21 00:00:00.000,CETH,74.599583333
2024-05-21 00:00:00.000,RSR,0.008968946667
2024-05-21 00:00:00.000,COMP,60.737916667
2024-05-21 00:00:00.000,CELR,0.02817412875
2024-05-21 00:00:00.000,ARB,1.16875
2024-05-21 00:00:00.000,CDAI,0.02334438
2024-05-21 00:00:00.000,USDC,1.008328042
2024-05-21 00:00:00.000,RPL,20.9075
2024-05-21 00:00:00.000,RETH,4055.058333333
2024-05-21 00:00:00.000,REN,0.06706116667
2024-05-21 00:00:00.000,FRAX,0.9974278333
2024-05-21 00:00:00.000,PAXG,2409.995416667
2024-05-21 00:00:00.000,WSTETH,4329.55125
2024-05-21 00:00:00.000,MPL,15.337916667
2024-05-21 00:00:00.000,BAL,3.937916667
2024-05-21 00:00:00.000,DPI,112.14625
2024-05-21 00:00:00.000,WETH,3715.164166667
2024-05-21 00:00:00.000,ENS,19.97375
2024-05-21 00:00:00.000,HOP,0.04315174208
2024-05-21 00:00:00.000,GFI,1.92049055
2024-05-21 00:00:00.000,WBTC,70675.333333333
2024-05-21 00:00:00.000,CWBTC,1418.450833333
2024-05-21 00:00:00.000,MKR,3130.688333333
2024-05-21 00:00:00.000,AAVE,97.714583333
2024-05-21 00:00:00.000,SOL,181.532916667
2024-05-21 00:00:00.000,STG,0.46904975
2024-05-21 00:00:00.000,G,0.003426586555
2024-05-21 00:00:00.000,UNI,9.117291667
2024-05-20 00:00:00.000,SOL,177.99625
2024-05-20 00:00:00.000,RPL,18.871666667
2024-05-20 00:00:00.000,CDAI,0.0233299875
2024-05-20 00:00:00.000,FRAX,0.9980526667
2024-05-20 00:00:00.000,MKR,2820.90125
2024-05-20 00:00:00.000,WETH,3154.52625
2024-05-20 00:00:00.000,CETH,63.437083333
2024-05-20 00:00:00.000,HOP,0.03734591375
2024-05-20 00:00:00.000,CWBTC,1352.829166667
2024-05-20 00:00:00.000,AAVE,87.535833333
2024-05-20 00:00:00.000,WBTC,67458.25
