DAY,DEFI_TREASURY_INDEX,NON_DEFI_TREASURY_INDEX,SIRLOIN_INDEX,WBTC_NORMALIZED_PRICE,WBTC_DAILY_RETURN,WETH_NORMALIZED_PRICE,WETH_DAILY_RETURN
2024-04-08 00:00:00.000,334.782687543,158.417774871,155.543794792,230.59600054,0.02470681336,182.790591606,0.05404979311
2024-04-07 00:00:00.000,321.26874485,149.316824567,149.229811516,225.036076206,0.01924550379,173.417416141,0.01636947604
2024-04-06 00:00:00.000,324.294190103,147.658183578,146.839515494,220.786920686,0.009017932125,170.624384369,0.01313770364
2024-04-05 00:00:00.000,314.326177091,145.712384844,145.909859918,218.813673828,0.008698360298,168.411839532,-0.0119572543
2024-04-04 00:00:00.000,323.208911871,145.929275952,145.901592807,216.926766653,0.01304644942,170.449952964,0.006416411208
2024-04-03 00:00:00.000,319.228325523,145.595493297,145.645510289,214.133090123,-0.004938266954,169.363248717,-0.004922357092
2024-04-02 00:00:00.000,321.87065563,144.708063946,144.545241804,215.195784353,-0.04802936968,170.201039008,-0.05757929282
2024-04-01 00:00:00.000,346.097490111,152.104720655,150.41817925,226.052965815,-0.01049175015,180.599850694,-0.01832449674
2024-03-31 00:00:00.000,352.580201953,156.683954289,153.729646866,228.449804081,0.006320913116,183.971027182,0.0236996614
2024-03-30 00:00:00.000,333.950856671,152.554586227,150.313412627,227.014862856,-0.0008088031082,179.711915632,-0.004599954452
2024-03-29 00:00:00.000,338.589750191,153.41644695,150.564624174,227.198621808,-0.003891435524,180.54240246,-0.005401146411
2024-03-28 00:00:00.000,328.778000762,154.826023805,151.630735015,228.086204567,0.009748356382,181.522833863,-0.001424705158
2024-03-27 00:00:00.000,333.924411552,152.115513664,150.080842554,225.884204837,-0.009128890907,181.781819359,-0.01492564696
2024-03-26 00:00:00.000,335.438519092,154.914499653,152.450210869,227.965274963,0.02975111479,184.536140646,0.02767524284
2024-03-25 00:00:00.000,324.449947966,155.28736853,152.416374248,221.379002837,0.04836384507,179.566591616,0.0422869837
2024-03-24 00:00:00.000,311.624016467,150.201333224,148.849626434,211.166193758,0.01083573509,172.281333668,0.002903341402
