DAY,SYMBOL,TOTAL_FILLED_BALANCE,DAILY_PRICE,TOTAL_VALUE_IN_USD,TOTAL_USD_IN_TREASURY,COMPOSITION
2022-06-23 00:00:00.000,COW,503887361.093973,0.08315203308,41899258.5174977,43688594.5280963,0.9590434064
2022-06-23 00:00:00.000,ETH,187.279894796,1126.900332664,211045.775746663,43688594.5280963,0.004830683569
2022-06-23 00:00:00.000,GNO,13265.602579251,118.914650263,1577474.49124043,43688594.5280963,0.03610723825
2022-06-23 00:00:00.000,WETH,0.7238826611,1126.900332664,815.74361155,43688594.5280963,0.0000186717751
2022-06-24 00:00:00.000,COW,503887361.093973,0.09167934755,46196064.5024586,48116665.447812,0.9600844961
2022-06-24 00:00:00.000,ETH,187.279894796,1223.911283994,229213.976505733,48116665.447812,0.004763712829
2022-06-24 00:00:00.000,GNO,13265.602579251,127.434919793,1690501.00069061,48116665.447812,0.03513337811
2022-06-24 00:00:00.000,WETH,0.7238826611,1223.911283994,885.96815715,48116665.447812,0.00001841291679
2022-06-25 00:00:00.000,COW,503887361.093973,0.09263097869,46675579.4059939,48602411.3651983,0.9603552189
2022-06-25 00:00:00.000,ETH,187.279894796,1248.004310953,233726.116059904,48602411.3651983,0.00480894074
2022-06-25 00:00:00.000,GNO,13265.602579251,127.563178857,1692202.43446295,48602411.3651983,0.03481725262
2022-06-25 00:00:00.000,WETH,0.7238826611,1248.004310953,903.408681618,48602411.3651983,0.00001858773374
2022-06-26 00:00:00.000,COW,503887361.093973,0.09048919765,45596363.0124122,47504935.4851886,0.9598237014
2022-06-26 00:00:00.000,ETH,187.279894796,1237.98577019,231849.844799833,47504935.4851886,0.004880542252
2022-06-26 00:00:00.000,GNO,13265.602579251,126.328710779,1675826.47154289,47504935.4851886,0.03527689185
2022-06-26 00:00:00.000,WETH,0.7238826611,1237.98577019,896.156433671,47504935.4851886,0.00001886449112
2022-06-27 00:00:00.000,COW,503887361.093973,0.09150238292,46106894.2637564,47961764.681728,0.9613260598
2022-06-27 00:00:00.000,ETH,187.279894796,1198.834532762,224517.605173187,47961764.681728,0.00468117899
2022-06-27 00:00:00.000,GNO,13265.602579251,122.835354635,1629484.99726668,47961764.681728,0.03397466728
2022-06-27 00:00:00.000,WETH,0.7238826611,1198.834532762,867.815531738,47961764.681728,0.00001809390329
2022-06-28 00:00:00.000,COW,503887361.093973,0.08821170153,44448761.499745,46260255.9028354,0.9608412369
2022-06-28 00:00:00.000,ETH,187.279894796,1168.023535299,218747.324809844,46260255.9028354,0.004728623319
2022-06-28 00:00:00.000,GNO,13265.602579251,120.002205462,1591901.56629566,46260255.9028354,0.03441186252
2022-06-28 00:00:00.000,WETH,0.7238826611,1168.023535299,845.511984905,46260255.9028354,0.00001827728724
2022-06-29 00:00:00.000,COW,503887361.093973,0.084893281,42776651.338807,44523424.2620071,0.9607673275
