DAY,DEFI_TREASURY_INDEX,NON_DEFI_TREASURY_INDEX,SIRLOIN_INDEX,WSTETH_NORMALIZED,WBTC_NORMALIZED_PRICE,WBTC_DAILY_RETURN,WETH_NORMALIZED_PRICE,WETH_DAILY_RETURN
2024-02-15 00:00:00.000,228.750728974,126.512116486,130.565959562,150.18975768,168.807706182,0.02603178892,143.05874322,0.03668373396
2024-02-14 00:00:00.000,228.444762163,124.815086966,129.319900854,147.824448876,164.524830522,0.02145523603,137.99651575,0.0195951769
2024-02-13 00:00:00.000,222.999518695,120.697338898,125.285104199,140.291574391,161.06905591,0.02248363154,135.344417938,0.05009373953
2024-02-12 00:00:00.000,224.221962211,121.109240444,125.674853139,141.031767182,157.527270796,0.01140381817,128.887939088,0.003200931197
2024-02-11 00:00:00.000,219.33888865,116.057365438,121.328763912,133.082620402,155.751113419,0.01603872078,128.47669403,0.006848632501
2024-02-10 00:00:00.000,217.579343842,116.367863029,121.189616616,132.839565165,153.292497848,0.01533223772,127.602789419,0.01041096678
2024-02-09 00:00:00.000,205.311361629,116.156350225,120.927905201,132.373671007,150.977672286,0.04074612572,126.288009151,0.01732318503
2024-02-08 00:00:00.000,192.221878159,113.896200927,118.892366112,128.705328837,145.066763696,0.03632945234,124.137551379,0.01976515119
2024-02-07 00:00:00.000,193.372589567,113.5683273,118.962886789,128.843626807,139.981319037,0.00777323572,121.731509685,0.02184737727
2024-02-06 00:00:00.000,181.215872627,111.805267637,117.457673617,126.156694816,138.901604126,0.002986053222,119.128856611,0.01291567944
2024-02-05 00:00:00.000,178.273277004,109.136816932,115.195773517,122.159837534,138.488071374,-0.003509392106,117.609845546,0.001216628562
2024-02-04 00:00:00.000,176.300812796,108.665457643,114.95992497,121.753673396,138.975791921,-0.004165490496,117.466931922,-0.005180218484
2024-02-03 00:00:00.000,177.40120177,109.11846175,115.080384927,121.978350165,139.557115761,0.001973695512,118.078604894,0.00295417528
2024-02-02 00:00:00.000,180.051048957,109.381002173,115.358125297,122.478244489,139.282215078,0.01462709227,117.730807452,0.01322399064
2024-02-01 00:00:00.000,179.501423874,108.969899783,115.260595706,122.316513972,137.274291352,-0.01299908438,116.194255702,-0.01979895576
2024-01-31 00:00:00.000,181.760483664,108.578480965,114.668271141,121.281346774,139.082233035,-0.01057830105,118.54124864,-0.002652679512
2024-01-30 00:00:00.000,190.322365512,114.310156911,116.437810545,124.437389155,140.569216526,0.02525461603,118.85653694,0.02440849514
2024-01-29 00:00:00.000,187.245950197,112.794933765,115.562059199,122.893138399,137.106640954,0.002119694653,116.024552222,-0.002290713127
2024-01-28 00:00:00.000,185.48098008,110.145803123,113.82876031,119.857474982,136.816631471,0.01032765891,116.290941408,0.00360855735
2024-01-27 00:00:00.000,184.789967116,111.218660758,114.134875488,120.403774937,135.418079734,0.02527912111,115.872807736,0.01400971612
2024-01-26 00:00:00.000,180.240337198,110.854763613,114.07688149,120.312801522,132.079232812,0.02080057008,114.271890983,0.01036098394
2024-01-25 00:00:00.000,175.930063652,108.99052232,112.730769743,117.970465802,129.38789092,0.001577201156,113.100063046,-0.007207751295
